,0,1,2
0,/s?i=electronics&bbn=3468301&rh=n%3A562066&dc&fst=as%3Aoff&qid=1576772838&rnid=669059031&ref=sr_hi_1,https://www.amazon.de/s?bbn=3468301&rh=n%3A562066%2Cn%3A%21569604%2Cn%3A1384526031%2Cn%3A3468301%2Cp_89%3AApple&dc&fst=as%3Aoff&qid=1576771433&rnid=669059031&ref=sr_in_-2_p_89_4,1
1,/s?i=electronics&bbn=3468301&rh=n%3A562066%2Cn%3A%21569604%2Cn%3A1384526031&dc&fst=as%3Aoff&qid=1576772838&rnid=669059031&ref=sr_hi_2,https://www.amazon.de/s?bbn=3468301&rh=n%3A562066%2Cn%3A%21569604%2Cn%3A1384526031%2Cn%3A3468301%2Cp_89%3AApple&dc&fst=as%3Aoff&qid=1576771433&rnid=669059031&ref=sr_in_-2_p_89_4,1
2,/s?i=electronics&bbn=3468301&rh=n%3A562066%2Cn%3A%21569604%2Cn%3A1384526031%2Cn%3A3468301&dc&fst=as%3Aoff&qid=1576772838&rnid=669059031&ref=sr_hi_3,https://www.amazon.de/s?bbn=3468301&rh=n%3A562066%2Cn%3A%21569604%2Cn%3A1384526031%2Cn%3A3468301%2Cp_89%3AApple&dc&fst=as%3Aoff&qid=1576771433&rnid=669059031&ref=sr_in_-2_p_89_4,1
3,/Apple-iPhone-11-128-GB-Wei%C3%9F/dp/B07XRR2CJS/ref=sr_1_1?fst=as%3Aoff&qid=1576772838&refinements=p_89%3AApple&rnid=669059031&s=ce-de&sr=1-1,https://www.amazon.de/s?bbn=3468301&rh=n%3A562066%2Cn%3A%21569604%2Cn%3A1384526031%2Cn%3A3468301%2Cp_89%3AApple&dc&fst=as%3Aoff&qid=1576771433&rnid=669059031&ref=sr_in_-2_p_89_4,1
4,/Apple-iPhone-Pro-256-GB-Nachtgr%C3%BCn/dp/B07XRQN9WQ/ref=sr_1_2?fst=as%3Aoff&qid=1576772838&refinements=p_89%3AApple&rnid=669059031&s=ce-de&sr=1-2,https://www.amazon.de/s?bbn=3468301&rh=n%3A562066%2Cn%3A%21569604%2Cn%3A1384526031%2Cn%3A3468301%2Cp_89%3AApple&dc&fst=as%3Aoff&qid=1576771433&rnid=669059031&ref=sr_in_-2_p_89_4,1
5,/Apple-iPhone-11-128-GB-PRODUCT/dp/B07XRRBCGK/ref=sr_1_3?fst=as%3Aoff&qid=1576772838&refinements=p_89%3AApple&rnid=669059031&s=ce-de&sr=1-3,https://www.amazon.de/s?bbn=3468301&rh=n%3A562066%2Cn%3A%21569604%2Cn%3A1384526031%2Cn%3A3468301%2Cp_89%3AApple&dc&fst=as%3Aoff&qid=1576771433&rnid=669059031&ref=sr_in_-2_p_89_4,1
6,/Apple-iPhone-11-Pro-256-GB/dp/B07XRR3G6M/ref=sr_1_4?fst=as%3Aoff&qid=1576772838&refinements=p_89%3AApple&rnid=669059031&s=ce-de&sr=1-4,https://www.amazon.de/s?bbn=3468301&rh=n%3A562066%2Cn%3A%21569604%2Cn%3A1384526031%2Cn%3A3468301%2Cp_89%3AApple&dc&fst=as%3Aoff&qid=1576771433&rnid=669059031&ref=sr_in_-2_p_89_4,1
7,/Apple-iPhone-11-64-GB-Schwarz/dp/B07XRR7N5V/ref=sr_1_5?fst=as%3Aoff&qid=1576772838&refinements=p_89%3AApple&rnid=669059031&s=ce-de&sr=1-5,https://www.amazon.de/s?bbn=3468301&rh=n%3A562066%2Cn%3A%21569604%2Cn%3A1384526031%2Cn%3A3468301%2Cp_89%3AApple&dc&fst=as%3Aoff&qid=1576771433&rnid=669059031&ref=sr_in_-2_p_89_4,1
8,/Apple-iPhone-11-Pro-64-GB/dp/B07XRRNYWK/ref=sr_1_6?fst=as%3Aoff&qid=1576772838&refinements=p_89%3AApple&rnid=669059031&s=ce-de&sr=1-6,https://www.amazon.de/s?bbn=3468301&rh=n%3A562066%2Cn%3A%21569604%2Cn%3A1384526031%2Cn%3A3468301%2Cp_89%3AApple&dc&fst=as%3Aoff&qid=1576771433&rnid=669059031&ref=sr_in_-2_p_89_4,1
9,/Apple-iPhone-11-64-GB-Wei%C3%9F/dp/B07XRR2634/ref=sr_1_7?fst=as%3Aoff&qid=1576772838&refinements=p_89%3AApple&rnid=669059031&s=ce-de&sr=1-7,https://www.amazon.de/s?bbn=3468301&rh=n%3A562066%2Cn%3A%21569604%2Cn%3A1384526031%2Cn%3A3468301%2Cp_89%3AApple&dc&fst=as%3Aoff&qid=1576771433&rnid=669059031&ref=sr_in_-2_p_89_4,1
