,link,title,reviews,source,i
0,https://www.amazon.de/Apple-iPhone-11-128-GB-Wei%C3%9F/dp/B07XRR2CJS/ref=sr_1_1?fst=as%3Aoff&qid=1576866542&refinements=p_89%3AApple&rnid=669059031&s=ce-de&sr=1-1,"
Apple iPhone 11 (128 GB) - Weiß
",342,https://www.amazon.de/s?bbn=3468301&rh=n%3A562066%2Cn%3A%21569604%2Cn%3A1384526031%2Cn%3A3468301%2Cp_89%3AApple&dc&fst=as%3Aoff&qid=1576771433&rnid=669059031&ref=sr_in_-2_p_89_4,68
1,https://www.amazon.de/Apple-iPhone-Pro-256-GB-Nachtgr%C3%BCn/dp/B07XRQN9WQ/ref=sr_1_2?fst=as%3Aoff&qid=1576866542&refinements=p_89%3AApple&rnid=669059031&s=ce-de&sr=1-2,"
Apple iPhone 11 Pro (256 GB) - Nachtgrün
",139,https://www.amazon.de/s?bbn=3468301&rh=n%3A562066%2Cn%3A%21569604%2Cn%3A1384526031%2Cn%3A3468301%2Cp_89%3AApple&dc&fst=as%3Aoff&qid=1576771433&rnid=669059031&ref=sr_in_-2_p_89_4,68
2,https://www.amazon.de/Apple-iPhone-11-128-GB-PRODUCT/dp/B07XRRBCGK/ref=sr_1_3?fst=as%3Aoff&qid=1576866542&refinements=p_89%3AApple&rnid=669059031&s=ce-de&sr=1-3,"
Apple iPhone 11 (128 GB) - (PRODUCT)RED
",342,https://www.amazon.de/s?bbn=3468301&rh=n%3A562066%2Cn%3A%21569604%2Cn%3A1384526031%2Cn%3A3468301%2Cp_89%3AApple&dc&fst=as%3Aoff&qid=1576771433&rnid=669059031&ref=sr_in_-2_p_89_4,68
3,https://www.amazon.de/Apple-iPhone-11-Pro-256-GB/dp/B07XRR3G6M/ref=sr_1_4?fst=as%3Aoff&qid=1576866542&refinements=p_89%3AApple&rnid=669059031&s=ce-de&sr=1-4,"
Apple iPhone 11 Pro (256 GB) - Space Grau
",139,https://www.amazon.de/s?bbn=3468301&rh=n%3A562066%2Cn%3A%21569604%2Cn%3A1384526031%2Cn%3A3468301%2Cp_89%3AApple&dc&fst=as%3Aoff&qid=1576771433&rnid=669059031&ref=sr_in_-2_p_89_4,68
4,https://www.amazon.de/Apple-iPhone-11-64-GB-Schwarz/dp/B07XRR7N5V/ref=sr_1_5?fst=as%3Aoff&qid=1576866542&refinements=p_89%3AApple&rnid=669059031&s=ce-de&sr=1-5,"
Apple iPhone 11 (64 GB) - Schwarz
",342,https://www.amazon.de/s?bbn=3468301&rh=n%3A562066%2Cn%3A%21569604%2Cn%3A1384526031%2Cn%3A3468301%2Cp_89%3AApple&dc&fst=as%3Aoff&qid=1576771433&rnid=669059031&ref=sr_in_-2_p_89_4,68
5,https://www.amazon.de/Apple-iPhone-11-Pro-64-GB/dp/B07XRRNYWK/ref=sr_1_6?fst=as%3Aoff&qid=1576866542&refinements=p_89%3AApple&rnid=669059031&s=ce-de&sr=1-6,"
Apple iPhone 11 Pro (64 GB) - Space Grau
",139,https://www.amazon.de/s?bbn=3468301&rh=n%3A562066%2Cn%3A%21569604%2Cn%3A1384526031%2Cn%3A3468301%2Cp_89%3AApple&dc&fst=as%3Aoff&qid=1576771433&rnid=669059031&ref=sr_in_-2_p_89_4,68
6,https://www.amazon.de/Apple-iPhone-11-64-GB-Wei%C3%9F/dp/B07XRR2634/ref=sr_1_7?fst=as%3Aoff&qid=1576866542&refinements=p_89%3AApple&rnid=669059031&s=ce-de&sr=1-7,"
Apple iPhone 11 (64 GB) - Weiß
",342,https://www.amazon.de/s?bbn=3468301&rh=n%3A562066%2Cn%3A%21569604%2Cn%3A1384526031%2Cn%3A3468301%2Cp_89%3AApple&dc&fst=as%3Aoff&qid=1576771433&rnid=669059031&ref=sr_in_-2_p_89_4,68
7,https://www.amazon.de/Apple-iPhone-Pro-Max-256-GB/dp/B07XRQN9YL/ref=sr_1_8?fst=as%3Aoff&qid=1576866542&refinements=p_89%3AApple&rnid=669059031&s=ce-de&sr=1-8,"
Apple iPhone 11 Pro Max (256 GB) - Nachtgrün
",128,https://www.amazon.de/s?bbn=3468301&rh=n%3A562066%2Cn%3A%21569604%2Cn%3A1384526031%2Cn%3A3468301%2Cp_89%3AApple&dc&fst=as%3Aoff&qid=1576771433&rnid=669059031&ref=sr_in_-2_p_89_4,68
8,https://www.amazon.de/Apple-iPhone-Pro-Max-256-GB/dp/B07XRPSC15/ref=sr_1_9?fst=as%3Aoff&qid=1576866542&refinements=p_89%3AApple&rnid=669059031&s=ce-de&sr=1-9,"
Apple iPhone 11 Pro Max (256 GB) - Silber
",128,https://www.amazon.de/s?bbn=3468301&rh=n%3A562066%2Cn%3A%21569604%2Cn%3A1384526031%2Cn%3A3468301%2Cp_89%3AApple&dc&fst=as%3Aoff&qid=1576771433&rnid=669059031&ref=sr_in_-2_p_89_4,68
9,https://www.amazon.de/Apple-iPhone-Pro-Max-256-GB/dp/B07XL95ZZM/ref=sr_1_10?fst=as%3Aoff&qid=1576866542&refinements=p_89%3AApple&rnid=669059031&s=ce-de&sr=1-10,"
Apple iPhone 11 Pro Max (256 GB) - Space Grau
",128,https://www.amazon.de/s?bbn=3468301&rh=n%3A562066%2Cn%3A%21569604%2Cn%3A1384526031%2Cn%3A3468301%2Cp_89%3AApple&dc&fst=as%3Aoff&qid=1576771433&rnid=669059031&ref=sr_in_-2_p_89_4,68
10,https://www.amazon.de/Apple-iPhone-11-64-GB-PRODUCT/dp/B07XRR2CQ8/ref=sr_1_11?fst=as%3Aoff&qid=1576866542&refinements=p_89%3AApple&rnid=669059031&s=ce-de&sr=1-11,"
Apple iPhone 11 (64 GB) - (PRODUCT)RED
",342,https://www.amazon.de/s?bbn=3468301&rh=n%3A562066%2Cn%3A%21569604%2Cn%3A1384526031%2Cn%3A3468301%2Cp_89%3AApple&dc&fst=as%3Aoff&qid=1576771433&rnid=669059031&ref=sr_in_-2_p_89_4,68
11,https://www.amazon.de/Apple-iPhone-XR-128-GB-Wei%C3%9F/dp/B07HBCRFW6/ref=sr_1_12?fst=as%3Aoff&qid=1576866542&refinements=p_89%3AApple&rnid=669059031&s=ce-de&sr=1-12,"
Apple iPhone XR (128GB) - Weiß
",566,https://www.amazon.de/s?bbn=3468301&rh=n%3A562066%2Cn%3A%21569604%2Cn%3A1384526031%2Cn%3A3468301%2Cp_89%3AApple&dc&fst=as%3Aoff&qid=1576771433&rnid=669059031&ref=sr_in_-2_p_89_4,68
12,https://www.amazon.de/Apple-iPhone-Pro-Max-64-GB/dp/B07XRR7ND7/ref=sr_1_13?fst=as%3Aoff&qid=1576866542&refinements=p_89%3AApple&rnid=669059031&s=ce-de&sr=1-13,"
Apple iPhone 11 Pro Max (64 GB) - Nachtgrün
",128,https://www.amazon.de/s?bbn=3468301&rh=n%3A562066%2Cn%3A%21569604%2Cn%3A1384526031%2Cn%3A3468301%2Cp_89%3AApple&dc&fst=as%3Aoff&qid=1576771433&rnid=669059031&ref=sr_in_-2_p_89_4,68
13,https://www.amazon.de/Apple-iPhone-11-Pro-256-GB/dp/B07XRRN7JZ/ref=sr_1_14?fst=as%3Aoff&qid=1576866542&refinements=p_89%3AApple&rnid=669059031&s=ce-de&sr=1-14,"
Apple iPhone 11 Pro (256 GB) - Silber
",139,https://www.amazon.de/s?bbn=3468301&rh=n%3A562066%2Cn%3A%21569604%2Cn%3A1384526031%2Cn%3A3468301%2Cp_89%3AApple&dc&fst=as%3Aoff&qid=1576771433&rnid=669059031&ref=sr_in_-2_p_89_4,68
